id_cooperado,idade,renda_mensal,segmento,tempo_cooperativa_meses
1,56,8060.98,PF,54
2,69,4163.11,PF,38
3,46,8126.62,PF,17
4,32,1780.21,PF,22
5,60,2817.1,PJ,83
6,25,2064.51,PJ,45
7,38,7155.65,PJ,118
8,56,8701.78,PJ,74
9,36,4345.69,PF,61
10,40,2444.65,PF,11
11,28,4837.73,PJ,61
12,28,3330.03,PF,38
13,41,2599.47,PJ,66
14,70,6445.87,PF,33
15,53,2680.09,PF,43
16,57,1403.77,PF,31
17,41,1676.91,PJ,112
18,20,1362.93,PF,35
19,39,5990.98,PF,37
20,70,5543.18,PF,47
21,19,5326.32,PF,111
22,41,7865.06,PF,100
23,61,12753.58,PF,23
24,47,3060.05,PF,36
25,55,6803.43,PF,40
26,19,1388.96,PF,103
27,38,14808.67,PF,90
28,50,1815.53,PF,89
29,29,2784.81,Agro,81
30,39,3046.76,PJ,15
31,61,1449.51,PF,37
32,42,5044.53,PF,109
33,66,5832.05,PF,4
34,44,4223.71,PF,22
35,59,1433.4,PF,81
36,45,24021.61,PF,22
37,33,7626.5,PF,81
38,32,40432.03,PF,78
39,64,2580.95,PF,78
40,68,10575.61,Agro,17
41,61,9167.49,PF,72
42,72,3895.35,Agro,98
43,69,15196.81,Agro,90
44,74,3553.44,PJ,109
45,20,3682.28,PF,94
46,54,305.78,PF,86
47,68,6817.32,PF,80
48,24,1702.06,PJ,94
49,38,3163.46,PF,80
50,26,2162.51,PF,38
51,56,3666.58,PF,118
52,35,7010.08,PJ,24
53,21,4958.77,PF,100
54,42,8670.77,PJ,99
55,31,13527.82,Agro,6
56,67,3659.07,PF,68
57,26,3351.44,PF,82
58,43,10574.3,PF,6
59,70,11267.05,PJ,26
60,19,8888.14,Agro,101
61,37,2294.47,Agro,91
62,45,6892.05,PF,41
63,64,5364.6,Agro,75
64,24,11407.46,PF,38
65,61,3107.9,PF,80
66,25,1295.58,PF,83
67,64,8537.21,Agro,43
68,52,634.8,PF,53
69,31,2737.47,PF,15
70,34,2167.75,Agro,90
71,53,2156.09,PF,56
72,67,2699.37,PF,105
73,57,13015.53,PF,56
74,21,9475.31,PF,31
75,19,4018.31,Agro,83
76,23,12172.06,PJ,57
77,71,2100.99,PF,51
78,59,1884.42,PJ,24
79,21,9807.25,Agro,58
80,71,7814.33,PJ,73
81,46,3400.88,PF,87
82,35,1981.54,PJ,4
83,43,15800.32,Agro,10
84,61,1241.3,PF,63
85,51,3045.01,PJ,73
86,27,5900.91,PF,83
87,53,20779.7,PF,15
88,31,6677.37,PJ,115
89,48,7217.35,PF,98
90,65,3116.58,PF,106
91,32,7744.86,PF,63
92,25,5346.77,PJ,19
