id_cooperado,produto,tipo_interacao,data
1,Consorcio Carro,CONTRATOU,2025-06-17
1,Cartao Black,CONTRATOU,2026-01-12
1,Emprestimo Pessoal,CONTRATOU,2025-11-03
2,Emprestimo Pessoal,PESQUISOU,2026-02-11
3,Consorcio Carro,CONTRATOU,2026-01-31
3,Consorcio Carro,CONTRATOU,2026-03-16
3,Previdencia,CONTRATOU,2025-07-23
3,Cartao Black,CONTRATOU,2026-02-19
4,Seguro de Vida,CONTRATOU,2025-12-18
4,Cartao Black,CONTRATOU,2026-01-30
4,Emprestimo Pessoal,CONTRATOU,2025-04-24
4,Seguro de Vida,PESQUISOU,2025-06-03
5,Antecipacao de Recebiveis,PESQUISOU,2025-11-10
6,Antecipacao de Recebiveis,CONTRATOU,2025-11-30
7,Maquininha,PESQUISOU,2025-12-20
7,Maquininha,CONTRATOU,2026-02-04
8,Antecipacao de Recebiveis,CONTRATOU,2025-11-29
8,Maquininha,CONTRATOU,2025-05-11
8,Seguro Empresarial,CONTRATOU,2025-12-24
8,Antecipacao de Recebiveis,CONTRATOU,2025-06-14
8,Seguro Empresarial,CONTRATOU,2026-01-20
9,Consorcio Carro,CONTRATOU,2025-12-10
9,Emprestimo Pessoal,PESQUISOU,2025-06-15
9,Cartao Black,CONTRATOU,2025-05-14
9,Previdencia,PESQUISOU,2025-11-23
10,Emprestimo Pessoal,PESQUISOU,2025-09-20
10,Cartao Black,CONTRATOU,2026-02-12
10,Cartao Black,PESQUISOU,2025-12-04
10,Previdencia,CONTRATOU,2026-01-06
11,Maquininha,CONTRATOU,2025-11-29
11,Seguro Empresarial,PESQUISOU,2025-12-19
11,Maquininha,PESQUISOU,2026-02-05
11,Maquininha,CONTRATOU,2025-05-15
12,Previdencia,PESQUISOU,2025-09-18
12,Emprestimo Pessoal,CONTRATOU,2025-08-31
12,Seguro de Vida,CONTRATOU,2026-02-16
12,Previdencia,CONTRATOU,2025-06-14
12,Consorcio Carro,PESQUISOU,2025-09-10
13,Seguro Empresarial,CONTRATOU,2025-11-21
14,Seguro de Vida,CONTRATOU,2025-05-24
14,Consorcio Carro,CONTRATOU,2025-04-22
14,Cartao Black,PESQUISOU,2025-11-08
15,Emprestimo Pessoal,CONTRATOU,2025-05-31
15,Emprestimo Pessoal,CONTRATOU,2025-05-03
16,Cartao Black,CONTRATOU,2025-05-09
16,Emprestimo Pessoal,CONTRATOU,2025-11-15
17,Antecipacao de Recebiveis,CONTRATOU,2025-04-17
17,Giro Caixa,CONTRATOU,2025-05-10
17,Maquininha,PESQUISOU,2025-10-12
17,Giro Caixa,CONTRATOU,2026-01-08
18,Emprestimo Pessoal,PESQUISOU,2025-05-10
18,Emprestimo Pessoal,CONTRATOU,2026-02-25
18,Emprestimo Pessoal,CONTRATOU,2025-06-03
18,Previdencia,PESQUISOU,2025-07-07
19,Consorcio Carro,CONTRATOU,2026-02-27
19,Consorcio Carro,CONTRATOU,2026-03-15
19,Cartao Black,PESQUISOU,2025-09-15
19,Consorcio Carro,CONTRATOU,2025-04-26
20,Cartao Black,CONTRATOU,2026-02-21
21,Emprestimo Pessoal,CONTRATOU,2025-09-27
21,Previdencia,CONTRATOU,2025-10-24
21,Consorcio Carro,CONTRATOU,2025-05-05
21,Seguro de Vida,CONTRATOU,2025-06-18
22,Consorcio Carro,PESQUISOU,2025-05-01
22,Previdencia,PESQUISOU,2025-09-28
22,Consorcio Carro,CONTRATOU,2025-11-14
22,Emprestimo Pessoal,PESQUISOU,2026-01-09
22,Cartao Black,CONTRATOU,2026-01-30
23,Emprestimo Pessoal,PESQUISOU,2025-12-03
23,Emprestimo Pessoal,PESQUISOU,2025-08-12
24,Emprestimo Pessoal,CONTRATOU,2025-10-27
24,Previdencia,PESQUISOU,2026-01-07
24,Previdencia,PESQUISOU,2025-11-28
25,Emprestimo Pessoal,PESQUISOU,2025-07-07
